"Category","Phase","Order","System","Project","ScopeArea","ItemType","ItemName","Action","Details","AcceptanceCriteria","Owner","TimeboxMinutes","Notes","Track","ExecutionMode","Priority","Risk","DependsOn","ProjectPath","FileTargets","Status"
"System","Phase 1: Foundations","1","Debug Work","Global","Global","FeatureItem","Task1","Debug and validate","Debug implementation and integration issues for this scope, capture evidence, and document fixes.","Issue reproduced or validated, fix/result documented, and evidence linked.","GameplayDev","3","Canonicalized from FULL 202-row scope lock.","debug","debug_now","P1","medium","","Core/**;Bluelock/**;CycleBorn/**","**/Commands/**/*.cs|**/*Command*.cs|**/Services/**/*.cs|**/*Service*.cs|**/*System*.cs|**/Plugin.cs|**/Models/**/*.cs|**/Data/**/*.cs|**/*Model*.cs|**/*Data*.cs|**/*.csproj","planned"
"System","Phase 1: Foundations","2","Debug Work","Global","Global","FeatureItem","Task2","Debug and validate","Debug implementation and integration issues for this scope, capture evidence, and document fixes.","Issue reproduced or validated, fix/result documented, and evidence linked.","GameplayDev","3","Canonicalized from FULL 202-row scope lock.","debug","debug_now","P1","medium","Task1","Core/**;Bluelock/**;CycleBorn/**","**/Commands/**/*.cs|**/*Command*.cs|**/Services/**/*.cs|**/*Service*.cs|**/*System*.cs|**/Plugin.cs|**/Models/**/*.cs|**/Data/**/*.cs|**/*Model*.cs|**/*Data*.cs|**/*.csproj","planned"
"System","Phase 1: Foundations","3","Debug Work","Global","Global","FeatureItem","Task3","Debug and validate","Debug implementation and integration issues for this scope, capture evidence, and document fixes.","Issue reproduced or validated, fix/result documented, and evidence linked.","GameplayDev","3","Canonicalized from FULL 202-row scope lock.","debug","debug_now","P1","medium","Task2","Core/**;Bluelock/**;CycleBorn/**","**/Commands/**/*.cs|**/*Command*.cs|**/Services/**/*.cs|**/*Service*.cs|**/*System*.cs|**/Plugin.cs|**/Models/**/*.cs|**/Data/**/*.cs|**/*Model*.cs|**/*Data*.cs|**/*.csproj","planned"
"System","Phase 1: Foundations","4","Debug Work","Global","Global","FeatureItem","Task4","Debug and validate","Debug implementation and integration issues for this scope, capture evidence, and document fixes.","Issue reproduced or validated, fix/result documented, and evidence linked.","GameplayDev","3","Canonicalized from FULL 202-row scope lock.","debug","debug_now","P1","medium","Task3","Core/**;Bluelock/**;CycleBorn/**","**/Commands/**/*.cs|**/*Command*.cs|**/Services/**/*.cs|**/*Service*.cs|**/*System*.cs|**/Plugin.cs|**/Models/**/*.cs|**/Data/**/*.cs|**/*Model*.cs|**/*Data*.cs|**/*.csproj","planned"
"System","Phase 1: Foundations","5","Debug Work","Global","Global","FeatureItem","Task5","Debug and validate","Debug implementation and integration issues for this scope, capture evidence, and document fixes.","Issue reproduced or validated, fix/result documented, and evidence linked.","GameplayDev","3","Canonicalized from FULL 202-row scope lock.","debug","debug_now","P1","medium","Task4","Core/**;Bluelock/**;CycleBorn/**","**/Commands/**/*.cs|**/*Command*.cs|**/Services/**/*.cs|**/*Service*.cs|**/*System*.cs|**/Plugin.cs|**/Models/**/*.cs|**/Data/**/*.cs|**/*Model*.cs|**/*Data*.cs|**/*.csproj","planned"
"System","Phase 1: Foundations","6","Debug Work","Global","Global","FeatureItem","Task6","Debug and validate","Debug implementation and integration issues for this scope, capture evidence, and document fixes.","Issue reproduced or validated, fix/result documented, and evidence linked.","GameplayDev","3","Canonicalized from FULL 202-row scope lock.","debug","debug_now","P1","medium","Task5","Core/**;Bluelock/**;CycleBorn/**","**/Commands/**/*.cs|**/*Command*.cs|**/Services/**/*.cs|**/*Service*.cs|**/*System*.cs|**/Plugin.cs|**/Models/**/*.cs|**/Data/**/*.cs|**/*Model*.cs|**/*Data*.cs|**/*.csproj","planned"
"System","Phase 1: Foundations","7","Debug Work","Global","Global","FeatureItem","Task7","Debug and validate","Debug implementation and integration issues for this scope, capture evidence, and document fixes.","Issue reproduced or validated, fix/result documented, and evidence linked.","GameplayDev","3","Canonicalized from FULL 202-row scope lock.","debug","debug_now","P1","medium","Task6","Core/**;Bluelock/**;CycleBorn/**","**/Commands/**/*.cs|**/*Command*.cs|**/Services/**/*.cs|**/*Service*.cs|**/*System*.cs|**/Plugin.cs|**/Models/**/*.cs|**/Data/**/*.cs|**/*Model*.cs|**/*Data*.cs|**/*.csproj","planned"
"System","Phase 1: Foundations","8","Debug Work","Global","Global","FeatureItem","Task8","Debug and validate","Debug implementation and integration issues for this scope, capture evidence, and document fixes.","Issue reproduced or validated, fix/result documented, and evidence linked.","GameplayDev","3","Canonicalized from FULL 202-row scope lock.","debug","debug_now","P1","medium","Task7","Core/**;Bluelock/**;CycleBorn/**","**/Commands/**/*.cs|**/*Command*.cs|**/Services/**/*.cs|**/*Service*.cs|**/*System*.cs|**/Plugin.cs|**/Models/**/*.cs|**/Data/**/*.cs|**/*Model*.cs|**/*Data*.cs|**/*.csproj","planned"
"Cross-Project Review","Phase 1: Foundations","9","Debug Work","All","Preparation","RoadmapItem","Task9","Debug and validate","Debug implementation and integration issues for this scope, capture evidence, and document fixes.","Issue reproduced or validated, fix/result documented, and evidence linked.","Lead","1","Canonicalized from FULL 202-row scope lock.","debug","debug_now","P1","medium","","**/*.cs;**/*.csproj","**/Commands/**/*.cs|**/*Command*.cs|**/Services/**/*.cs|**/*Service*.cs|**/*System*.cs|**/Plugin.cs|**/Models/**/*.cs|**/Data/**/*.cs|**/*Model*.cs|**/*Data*.cs|**/*.csproj","planned"
"Cross-Project Review","Phase 1: Foundations","10","Debug Work","All","Preparation","RoadmapItem","Task10","Debug and validate","Debug implementation and integration issues for this scope, capture evidence, and document fixes.","Issue reproduced or validated, fix/result documented, and evidence linked.","Lead","1","Canonicalized from FULL 202-row scope lock.","debug","debug_now","P1","medium","Task9","**/*.cs;**/*.csproj","**/Commands/**/*.cs|**/*Command*.cs|**/Services/**/*.cs|**/*Service*.cs|**/*System*.cs|**/Plugin.cs|**/Models/**/*.cs|**/Data/**/*.cs|**/*Model*.cs|**/*Data*.cs|**/*.csproj","planned"
